case_id,name,n,m,has_expected,dijkstra_time,dijkstra_shortest,dijkstra_second,dijkstra_correct,dijkstra_pq_ops,dijkstra_push_count,dijkstra_pop_count,dijkstra_edge_relax,dijkstra_d1_updates,dijkstra_d2_updates,spfa_time,spfa_shortest,spfa_second,spfa_correct,spfa_queue_ops,spfa_push_count,spfa_pop_count,spfa_edge_relax,spfa_d1_updates,spfa_d2_updates
1,Example 1 - Medium graph,5,5,True,6.040837615728378e-05,2,3,True,20,10,10,19,4,5,5.431380122900009e-05,2,3,True,10,10,10,20,4,5
2,Example 2 - Simple path,2,1,True,3.1091272830963135e-05,1,3,True,8,4,4,3,1,2,3.2038427889347076e-05,1,3,True,4,4,4,4,1,2
3,Triangle graph,3,3,True,3.552436828613281e-05,1,2,True,12,6,6,10,2,3,3.5884790122509e-05,1,2,True,6,6,6,12,2,3
4,Square graph,4,5,True,3.8545578718185425e-05,1,2,True,15,8,7,15,3,4,4.0125101804733276e-05,1,2,True,8,8,8,20,3,4
5,Linear chain,5,4,True,4.271138459444046e-05,4,6,True,20,10,10,15,4,5,4.138052463531494e-05,4,6,True,10,10,10,16,4,5
100,"Random sparse graph (n=8, m=14)",8,14,False,6.218068301677704e-05,2,3,,30,16,14,47,7,8,5.926564335823059e-05,2,3,,16,16,16,56,7,8
101,"Random sparse graph (n=9, m=18)",9,18,False,4.8611313104629517e-05,1,2,,23,15,8,30,8,6,6.575416773557663e-05,1,2,,18,18,18,72,8,9
102,"Random sparse graph (n=9, m=18)",9,18,False,5.53373247385025e-05,1,2,,29,18,11,45,8,9,6.462819874286652e-05,1,2,,18,18,18,72,8,9
103,"Random sparse graph (n=5, m=5)",5,5,False,4.1507184505462646e-05,2,4,,20,10,10,18,4,5,4.186108708381653e-05,2,4,,10,10,10,20,4,5
104,"Random sparse graph (n=8, m=14)",8,14,False,5.2170827984809875e-05,1,2,,26,16,10,39,7,8,5.9087760746479034e-05,1,2,,16,16,16,56,7,8
105,"Random medium graph (n=17, m=51)",17,51,False,9.35140997171402e-05,1,2,,51,33,18,109,16,16,0.0001186765730381012,1,2,,34,34,34,204,16,17
106,"Random medium graph (n=16, m=48)",16,48,False,0.0001079002395272255,2,3,,59,32,27,160,15,16,0.00011434685438871384,2,3,,32,32,32,192,15,16
107,"Random medium graph (n=15, m=45)",15,45,False,0.00010186340659856796,2,3,,56,30,26,151,14,15,0.00010776985436677933,2,3,,30,30,30,180,14,15
108,"Random medium graph (n=20, m=60)",20,60,False,0.00015342049300670624,3,4,,80,40,40,238,19,20,0.00013664551079273224,3,4,,40,40,40,240,19,20
109,"Random medium graph (n=19, m=57)",19,57,False,0.00011891033500432968,1,3,,69,38,31,183,18,19,0.0001267632469534874,1,3,,38,38,38,228,18,19
110,"Random medium graph (n=34, m=102)",34,102,False,9.984709322452545e-05,1,2,,73,56,17,116,32,23,0.00020726677030324936,1,2,,68,68,68,408,33,34
111,"Random medium graph (n=50, m=150)",50,150,False,0.0001718001440167427,2,3,,130,88,42,255,46,41,0.0002918615937232971,2,3,,100,100,100,600,49,50
112,"Random medium graph (n=48, m=144)",48,144,False,0.00022554956376552582,2,3,,154,94,60,386,47,46,0.0002854699268937111,2,3,,96,96,96,576,47,48
113,"Random medium graph (n=21, m=63)",21,63,False,9.542983025312424e-05,1,2,,58,38,20,120,20,17,0.00013694632798433304,1,2,,42,42,42,252,20,21
114,"Random medium graph (n=40, m=120)",40,120,False,0.00012178905308246613,2,3,,95,68,27,154,38,29,0.0002377685159444809,2,3,,80,80,80,480,39,40
115,"Random sparse graph (n=97, m=194)",97,194,False,0.0002229548990726471,3,4,,202,138,64,284,84,53,0.000439266674220562,3,4,,194,194,194,776,96,97
116,"Random sparse graph (n=58, m=116)",58,116,False,9.65585932135582e-05,3,4,,79,57,22,92,43,13,0.00026720762252807617,3,4,,116,116,116,464,57,58
117,"Random sparse graph (n=85, m=170)",85,170,False,0.00018671993166208267,2,3,,169,117,52,232,73,43,0.0003856932744383812,2,3,,170,170,170,680,84,85
118,"Random sparse graph (n=83, m=166)",83,166,False,0.00039780233055353165,4,5,,318,166,152,619,82,83,0.0003718370571732521,4,5,,166,166,166,664,82,83
119,"Random sparse graph (n=52, m=104)",52,104,False,0.0002605952322483063,5,6,,199,103,96,398,51,51,0.0002440270036458969,5,6,,104,104,104,416,51,52
200,Complete graph K6,6,15,True,5.4994598031044006e-05,1,2,True,24,12,12,55,5,6,5.477946251630783e-05,1,2,True,12,12,12,60,5,6
201,Star graph,10,9,True,5.8280304074287415e-05,1,3,True,40,20,20,35,9,10,5.626305937767029e-05,1,3,True,20,20,20,36,9,10
202,"Complete bipartite graph K4,4",8,16,True,5.531683564186096e-05,1,3,True,29,16,13,48,7,8,6.038602441549301e-05,1,3,True,16,16,16,64,7,8
203,Grid graph 4x4,16,24,True,8.65468755364418e-05,6,8,True,64,32,32,94,15,16,8.44346359372139e-05,6,8,True,32,32,32,96,15,16
